    PID    PPID COMMAND           RSS
1973069       2 kworker/u57:8-k     0
1973070       2 kworker/u57:10-     0
1974599       2 kworker/u60:0-r     0
1976097       2 kworker/8:2-eve     0
1977979       2 kworker/6:2-eve     0
1977980       2 kworker/u60:3+i     0
1980803       2 kworker/11:1-ev     0
1980850       2 kworker/2:0-eve     0
1980853       2 kworker/10:2-ev     0
1980861       2 kworker/4:1-mm_     0
1980983       2 kworker/12:1-ev     0
1981171       2 kworker/1:0-eve     0
1981174       2 kworker/3:1-eve     0
1981430       2 kworker/9:1-eve     0
1981733       2 kworker/5:1-eve     0
1984736       2 kworker/u57:13-     0
1986804       2 kworker/u58:0-k     0
1993435       2 kworker/0:1-eve     0
1998965       2 kworker/4:3         0
2001248       2 psimon              0
2008117       2 kworker/13:2-mm     0
2020156       2 kworker/u58:1-k     0
2020489       2 kworker/0:2-eve     0
2033020       2 kworker/2:0H        0
2038962       2 kworker/3:2H        0
2048944       2 kworker/5:2H        0
2090916       2 kworker/6:0H        0
2105695       2 kworker/10:2H       0
2783889       2 kworker/9:0H        0
3917573       2 kworker/8:2H        0
