label,mode,backend,oci_runtime,timestamp,process_pss_kb,control_plane_pss_kb,overhead_pss_kb_total,controller_pss_kb,ingress_pss_kb,runtime_pss_kb,k3s_control_plane_pss_kb,app_mem_bytes,system_mem_bytes,host_system_cgroups_bytes,mem_available_before_bytes,mem_available_after_bytes,mem_available_delta_bytes
r20260415-nixos-extra-150730+docker+runc+k1nd-pods-10,k1s,docker,runc,20260415-152359,137663,137663,137663,91874,44552,1237,0,192057344,88989696,842350592,22497882112,22514565120,16683008
r20260415-nixos-extra-150730+docker+runc+k1nd-rollout-2-during,k1s,docker,runc,20260415-152441,134070,134070,134070,89221,43564,1285,0,30437376,87986176,842096640,22615994368,22754119680,138125312
r20260415-nixos-extra-150730+docker+runc+k1nd-rollout-2-post,k1s,docker,runc,20260415-152513,134012,134012,134012,89163,43564,1285,0,30441472,87961600,842354688,22693748736,22739996672,46247936
r20260415-nixos-extra-150730+docker+runc+k1nd-rollout-5-during,k1s,docker,runc,20260415-152612,132260,132260,132260,88222,42752,1286,0,76107776,87207936,842092544,22458855424,22667755520,208900096
r20260415-nixos-extra-150730+docker+runc+k1nd-rollout-5-post,k1s,docker,runc,20260415-152644,132244,132244,132244,88212,42752,1280,0,76111872,87207936,842883072,22615085056,22664286208,49201152
r20260415-nixos-extra-150730+k3d+runc-idle,k3s,docker,runc,20260415-152758,818265,812491,812491,0,0,0,567250,0,1523052544,842883072,22139400192,22045265920,94134272
r20260415-nixos-extra-150730+k3d+runc-pods-1,k3s,docker,runc,20260415-152837,890071,884286,884286,0,72008,0,569834,20217856,1696071680,842620928,21954273280,22014447616,60174336
r20260415-nixos-extra-150730+k3d+runc-pods-5,k3s,docker,runc,20260415-152925,894513,888602,888602,0,72404,0,574548,100384768,1883881472,842092544,21919555584,21930266624,10711040
r20260415-nixos-extra-150730+k3d+runc-pods-10,k3s,docker,runc,20260415-153002,896192,890294,890294,0,72336,0,578176,201187328,1900425216,842100736,21811945472,21828169728,16224256
r20260415-nixos-extra-150730+k3d+runc-rollout-2-during,k3s,docker,runc,20260415-153034,895365,890643,890643,0,73208,0,577200,14393344,2280333312,842620928,21974560768,21993332736,18771968
r20260415-nixos-extra-150730+k3d+runc-rollout-2-post,k3s,docker,runc,20260415-153105,894849,890099,890099,0,71832,0,577996,32514048,2280927232,842358784,21984370688,22020456448,36085760
r20260415-nixos-extra-150730+k3d+runc-rollout-5-during,k3s,docker,runc,20260415-153142,894710,889931,889931,0,72128,0,578840,59375616,2289709056,842354688,21935906816,21937864704,1957888
r20260415-nixos-extra-150730+k3d+runc-rollout-5-post,k3s,docker,runc,20260415-153213,898208,893471,893471,0,72244,0,579508,100585472,2292203520,842092544,21897109504,21935026176,37916672
r20260415-nixos-extra-150730+cri+crun+containerd-idle,k1s,cri,crun,20260415-153325,244933,244933,244933,82766,0,162167,0,0,0,842764288,22692425728,22673686528,18739200
r20260415-nixos-extra-150730+cri+crun+containerd-pods-1,k1s,cri,crun,20260415-153402,249961,249961,249961,88019,0,161942,0,19181568,0,842764288,22571446272,22643499008,72052736
r20260415-nixos-extra-150730+cri+crun+containerd-pods-5,k1s,cri,crun,20260415-153440,241609,241609,241609,88067,0,153542,0,95727616,0,842502144,22460956672,22587297792,126341120
r20260415-nixos-extra-150730+cri+crun+containerd-pods-10,k1s,cri,crun,20260415-153522,244173,244173,244173,87739,0,156434,0,190754816,0,842240000,22432747520,22432960512,212992
r20260415-nixos-extra-150730+cri+crun+containerd-rollout-2-during,k1s,cri,crun,20260415-153606,241236,241236,241236,88383,0,152853,0,30138368,0,842244096,22526193664,22648578048,122384384
r20260415-nixos-extra-150730+cri+crun+containerd-rollout-2-post,k1s,cri,crun,20260415-153638,240293,240293,240293,87431,0,152862,0,30138368,0,842764288,22548508672,22633304064,84795392
r20260415-nixos-extra-150730+cri+crun+containerd-rollout-5-during,k1s,cri,crun,20260415-153718,242165,242165,242165,87967,0,154198,0,75329536,0,842502144,22325927936,22589149184,263221248
r20260415-nixos-extra-150730+cri+crun+containerd-rollout-5-post,k1s,cri,crun,20260415-153749,242252,242252,242252,88015,0,154237,0,75329536,0,842502144,22531092480,22574952448,43859968
r20260415-cri-idlepods1-recheck-1-r1+cri+crun+containerd-idle,k1s,cri,crun,20260415-161230,233310,233310,233310,82621,0,150689,0,0,0,825245696,18736041984,18812567552,76525568
r20260415-cri-idlepods1-recheck-1-r1+cri+crun+containerd-pods-1,k1s,cri,crun,20260415-161307,240164,240164,240164,88594,0,151570,0,19185664,0,824725504,18683015168,18843746304,160731136
r20260415-cri-idlepods1-recheck-1-r2+cri+crun+containerd-idle,k1s,cri,crun,20260415-162140,233835,233835,233835,82563,0,151272,0,0,0,824025088,18679148544,18608201728,70946816
r20260415-cri-idlepods1-recheck-1-r2+cri+crun+containerd-pods-1,k1s,cri,crun,20260415-162217,239217,239217,239217,87781,0,151436,0,18808832,0,824332288,18567299072,18629935104,62636032
r20260415-cri-idlepods1-recheck-1-r3+cri+crun+containerd-idle,k1s,cri,crun,20260415-162304,234530,234530,234530,82486,0,152044,0,0,0,825454592,18559127552,18612498432,53370880
r20260415-cri-idlepods1-recheck-1-r3+cri+crun+containerd-pods-1,k1s,cri,crun,20260415-162341,239852,239852,239852,87699,0,152153,0,18874368,0,825192448,18544168960,18550489088,6320128
